FETION_FLAG,MOBMAIL_FLAG,MOBNEWS_FLAG,TIMENEWS_FLAG,CR_FLAG,WIRELESS_ADV_USR_FLAG,WIRELESS_MUS_FLAG,CR_BOX_FLAG,PIM_FLAG,SMSRTN_FLAG,HOTEL_PREORD_CALL_FLAG,AER_PREORD_FLAG,MO_CALL_12580_FLAG,MOBPAY_FLAG,MOBDOWN_FLAG,mms_flag,gprs_flag,quanqu_down_flag,khbm
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10007
0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,10028
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,10032
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,10040
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10051
0,0,0,0,1,0,0,0,0,0,,,,,,0,1,0,10065
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10084
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,10095
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10107
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10120
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10135
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10137
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10148
1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,10151
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10160
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10166
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10178
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,10207
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10211
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10212
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10244
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10246
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10288
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10303
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,10305
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,10312
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10325
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10339
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,10348
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10359
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10375
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10378
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10384
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10388
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10443
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10446
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10454
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10467
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10482
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,10495
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10497
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10516
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10518
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10535
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10563
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10588
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10594
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10621
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10633
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10640
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10649
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10654
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10682
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10690
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10694
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10697
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10703
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10705
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10721
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10759
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10768
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10774
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10783
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10814
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10826
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10844
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10858
